Condición,Presenta (Sí/No),Edad
Anemia,, 
Artritis Reumatoide,, 
Asma,, 
Cáncer (¿en dónde?),, 
Cirrosis,, 
Diabetes,, 
Discapacidad (física - neurológica - sensorial),, 
Dolor de torácico - intolerancia al ejercicio,, 
Enfisema pulmonar,, 
Epilepsia,, 
Escarlatina,, 
Fiebre reumática,, 
Hemorragias espontáneas,, 
Hepatitis A,, 
Hepatitis B,, 
Hepatitis C,, 
Hipertensión arterial,, 
Infarto al corazón,, 
Lupus,, 
Mononucleosis infecciosa,, 
Obesidad,, 
Osteoporosis,, 
Enfermedades renales,, 
Paperas,, 
Pérdida de peso sin razón aparente,, 
Rubéola,, 
Sarampión,, 
Varicela,, 
VIH,, 
Otro: Covid 19,, 